T								F
831.7638								3.3130719E-27
812.8305								3.2475503E-27
794.3282								3.1829105E-27
776.2471								3.1191461E-27
758.5776								3.0562513E-27
741.3102								2.9942201E-27
724.436								2.933047E-27
707.9458								2.8727267E-27
691.831								2.8132541E-27
676.083								2.7546242E-27
660.6934								2.6968322E-27
645.6542								2.6398737E-27
630.9573								2.5837441E-27
616.595								2.5284394E-27
602.5596								2.4739553E-27
588.8437								2.4202879E-27
575.4399								2.3674333E-27
562.3413								2.3153876E-27
549.5409								2.2641473E-27
537.0318								2.2137087E-27
524.8075								2.1640682E-27
512.8614								2.1152222E-27
501.1872								2.0671672E-27
489.7788								2.0198997E-27
478.6301								1.9734162E-27
467.7351								1.9277131E-27
457.0882								1.8827869E-27
446.6836								1.838634E-27
436.5158								1.7952505E-27
426.5795								1.7526329E-27
416.8694								1.7107771E-27
407.3803								1.6696793E-27
398.1072								1.6293353E-27
389.0451								1.5897409E-27
380.1894								1.5508919E-27
371.5352								1.5127836E-27
363.0781								1.4754114E-27
354.8134								1.4387705E-27
346.7369								1.4028559E-27
338.8442								1.3676623E-27
331.1311								1.3331844E-27
323.5937								1.2994166E-27
316.2278								1.266353E-27
309.0295								1.2339877E-27
301.9952								1.2023145E-27
295.1209								1.1713268E-27
288.4032								1.1410181E-27
281.8383								1.1113814E-27
275.4229								1.0824098E-27
269.1535								1.0540958E-27
263.0268								1.0264321E-27
257.0396								9.9941073E-28
251.1886								9.7302394E-28
245.4709								9.4726356E-28
239.8833								9.2212126E-28
234.4229								8.9758855E-28
229.0868								8.7365673E-28
223.8721								8.5031695E-28
218.7762								8.2756019E-28
213.7962								8.0537726E-28
208.9296								7.8375886E-28
204.1738								7.6269551E-28
199.5262								7.4217765E-28
194.9845								7.2219558E-28
190.5461								7.027395E-28
186.2087								6.8379951E-28
181.9701								6.6536566E-28
177.8279								6.474279E-28
173.7801								6.2997614E-28
169.8244								6.1300022E-28
165.9587								5.9648997E-28
162.181								5.8043518E-28
158.4893								5.6482563E-28
154.8817								5.4965111E-28
151.3561								5.3490139E-28
147.9108								5.2056628E-28
144.544								5.0663562E-28
141.2538								4.9309926E-28
138.0384								4.7994714E-28
134.8963								4.6716921E-28
131.8257								4.5475554E-28
128.825								4.4269622E-28
125.8925								4.3098147E-28
123.0269								4.1960157E-28
120.2264								4.0854692E-28
117.4898								3.9780802E-28
114.8154								3.8737548E-28
112.2018								3.7724006E-28
109.6478								3.6739261E-28
107.1519								3.5782416E-28
104.7129								3.4852585E-28
102.3293								3.3948899E-28
100								3.3070506E-28
